고객ID,생년월일,성별,주소,가입일,고객세그먼트,금액,차량구분,구매 횟수,누적 구매 금액,구매 날짜,거래 방식,구매 경로,나이,연령대,구매 시즌,등급 점수,금액 점수,고객 등급 점수,할부 여부,지역 카테고리,구매 요일,구매 요일 카테고리,구매 횟수 점수,마지막 구매 이후 일수,구매 빈도 점수,거래 방식 점수,구매 경로 점수,고객 충성도 지수,등급
14798,2002-03-04,남,인천광역시 남동구 구월동 88-10,2023-04-01,일반,35170000,준중형 세단,1,35170000,2024-04-04,1,0,23,20대,봄,2,1,4,0,인천광역시,3,평일,1,350,2,1,1,38,이탈가능
kyoungsoo031,1983-01-02,남,광주광역시 서구 치평동 14-7,2025-02-09,vip,85790000,준대형 세단,5,428950000,2025-02-10,1,0,42,40대,겨울,3,4,8,1,광주광역시,0,평일,5,38,4,1,1,99,vip
daeun026,1999-05-02,여,부산광역시 해운대구 우동 101-12,2025-02-28,신규,69500000,중형 SUV,1,69500000,2025-03-10,2,0,25,20대,봄,1,2,4,1,부산광역시,0,평일,1,10,5,1,1,60,신규
minsu001,1960-07-01,남,전라남도 목포시 부주동 77-8,2023-04-28,일반,34920000,중형 SUV,1,34920000,2023-05-01,3,0,64,70대 이상,봄,2,1,4,0,전라남도,0,평일,1,689,1,1,1,33,이탈가능
seunghyun020,1970-03-02,남,경기도 수원시 영통구 원천동 12-34,2023-09-18,이탈가능,50230000,준중형 세단,1,50230000,2023-10-01,1,0,55,50대,가을,0,2,2,1,경기도,6,주말,1,536,1,1,1,35,이탈가능
youngcheol006,1959-08-03,남,울산광역시 남구 달동 23-5,2023-02-01,일반,50230000,준중형 세단,1,50230000,2023-02-01,1,0,65,70대 이상,겨울,2,2,4,1,울산광역시,2,평일,1,778,1,1,1,40,이탈가능
sujin002,1998-01-02,여,경기도 수원시 영통구 원천동 12-34,2023-07-11,일반,44400000,중형 세단,1,44400000,2023-07-18,1,1,27,20대,여름,2,1,4,1,경기도,1,평일,1,611,1,1,1,33,이탈가능
jaewon040,1976-01-06,남,서울특별시 종로구 청운동 67-89,2024-12-01,신규,27830000,준중형 세단,1,27830000,2024-12-01,1,0,49,40대,겨울,1,1,2,0,서울특별시,6,주말,1,109,3,1,1,38,이탈가능
jinsu035,1980-04-06,남,인천광역시 남동구 구월동 88-10,2023-01-01,일반,44400000,중형 세단,1,44400000,2023-01-03,1,0,44,40대,겨울,2,1,4,1,인천광역시,1,평일,1,807,1,1,1,33,이탈가능
minjeong008,1977-08-05,여,서울특별시 종로구 청운동 67-89,2024-04-01,신규,61820000,중형 세단,1,61820000,2024-04-06,1,0,47,40대,봄,1,2,4,1,서울특별시,5,주말,1,348,2,1,1,45,이탈가능
suyeon033,1990-11-24,여,경상남도 창원시 의창구 봉곡동 48-6,2024-11-08,vip,99670000,대형 세단,5,498350000,2024-12-03,2,0,34,30대,겨울,3,4,8,1,경상남도,1,평일,5,107,3,1,1,94,vip
yeonghee003,1988-05-07,여,전라북도 전주시 완산구 덕진동 33-7,2023-06-07,일반,45980000,중형 SUV,2,91960000,2023-07-07,3,0,36,30대,여름,2,2,6,1,전라북도,4,평일,2,622,1,1,1,50,이탈가능
joonseok028,1997-08-05,남,충청북도 청주시 상당구 낙실동 9-1,2024-12-12,일반,35170000,준중형 세단,1,35170000,2025-01-02,2,0,27,20대,겨울,2,1,4,0,충청북도,3,평일,1,77,4,1,1,49,신규
jisu022,1996-01-02,여,광주광역시 서구 치평동 14-7,2024-01-13,일반,34920000,중형 SUV,2,69840000,2024-02-03,2,0,29,20대,겨울,2,2,5,0,광주광역시,5,주말,2,411,1,1,1,47,이탈가능
chanwoo037,1980-02-04,남,경기도 성남시 분당구 정자동 56-78,2023-06-28,일반,35170000,준중형 세단,3,105510000,2023-08-07,1,0,45,40대,여름,2,2,6,0,경기도,0,평일,3,591,1,1,1,55,일반
donghoon015,1985-01-07,남,울산광역시 남구 달동 23-5,2024-04-18,일반,52410000,준대형 세단,1,52410000,2024-05-06,1,0,40,40대,봄,2,2,4,1,울산광역시,0,평일,1,318,2,1,1,45,이탈가능
sangmi041,1966-07-01,여,경상남도 창원시 의창구 봉곡동 48-6,2024-09-18,신규,34920000,중형 SUV,1,34920000,2024-10-03,1,0,58,50대,가을,1,1,3,0,경상남도,3,평일,1,168,3,1,1,41,이탈가능
