고객ID,생년월일,성별,주소,가입일,고객세그먼트,금액,차량구분,구매 횟수,누적 구매 금액,구매 날짜,거래 방식,구매 경로,구매 횟수 점수,누적 구매 금액 점수,마지막 구매 이후 일수,구매 최근성 점수,거래 방식 점수,구매 경로 점수,총점,등급,나이,연령대,구매 시즌,할부 여부,지역 카테고리,구매 요일,구매 요일 카테고리,금액 점수,구매 빈도 점수,고객 충성도 지수,평균 고객 수명,고객 생애 가치 (CLV)
14798,2002-03-04,남,인천광역시 남동구 구월동 88-10,2023-04-01,일반,35170000,준중형 세단,1,35170000,2024-04-04,1,0,1,1,350,2,1,1,6,이탈가능,23,20대,봄,0.0,인천광역시,3,평일,1,2,37,3,105510000
kyoungsoo031,1983-01-02,남,광주광역시 서구 치평동 14-7,2025-02-09,vip,85790000,준대형 세단,5,428950000,2025-02-10,1,0,5,4,38,4,1,1,15,VIP,42,40대,겨울,1.0,광주광역시,0,평일,4,4,98,3,1286850000
daeun026,1999-05-02,여,부산광역시 해운대구 우동 101-12,2025-02-28,신규,69500000,중형 SUV,1,69500000,2025-03-10,2,0,1,2,10,5,1,1,10,신규,25,20대,봄,0.0,부산광역시,0,평일,2,5,63,3,208500000
minsu001,1960-07-01,남,전라남도 목포시 부주동 77-8,2023-04-28,일반,34920000,중형 SUV,1,34920000,2023-05-01,3,0,1,1,689,1,1,1,5,이탈가능,64,70대 이상,봄,0.0,전라남도,0,평일,1,1,30,3,104760000
seunghyun020,1970-03-02,남,경기도 수원시 영통구 원천동 12-34,2023-09-18,이탈가능,50230000,준중형 세단,1,50230000,2023-10-01,1,0,1,2,536,1,1,1,6,이탈가능,55,50대,가을,1.0,경기도,6,주말,2,1,38,3,150690000
youngcheol006,1959-08-03,남,울산광역시 남구 달동 23-5,2023-02-01,일반,50230000,준중형 세단,1,50230000,2023-02-01,1,0,1,2,778,1,1,1,6,이탈가능,65,70대 이상,겨울,1.0,울산광역시,2,평일,2,1,38,3,150690000
sujin002,1998-01-02,여,경기도 수원시 영통구 원천동 12-34,2023-07-11,일반,44400000,중형 세단,1,44400000,2023-07-18,1,1,1,1,611,1,1,1,6,이탈가능,27,20대,여름,1.0,경기도,1,평일,1,1,32,3,133200000
jaewon040,1976-01-06,남,서울특별시 종로구 청운동 67-89,2024-12-01,신규,27830000,준중형 세단,1,27830000,2024-12-01,1,0,1,1,109,3,1,1,7,신규,49,40대,겨울,0.0,서울특별시,6,주말,1,3,43,3,83490000
jinsu035,1980-04-06,남,인천광역시 남동구 구월동 88-10,2023-01-01,일반,44400000,중형 세단,1,44400000,2023-01-03,1,0,1,1,807,1,1,1,5,이탈가능,44,40대,겨울,1.0,인천광역시,1,평일,1,1,30,3,133200000
minjeong008,1977-08-05,여,서울특별시 종로구 청운동 67-89,2024-04-01,신규,61820000,중형 세단,1,61820000,2024-04-06,1,0,1,2,348,2,1,1,7,이탈가능,47,40대,봄,1.0,서울특별시,5,주말,2,2,44,3,185460000
