고객ID,생년월일,성별,주소,가입일,고객세그먼트,금액,차량구분,구매 횟수,누적 구매 금액,구매 날짜,거래 방식,구매 경로
14798,2002-03-04,남,인천광역시 남동구 구월동 88-10,2023-04-01,일반,35170000,준중형 세단,1,35170000,2024-04-04,신용카드,오프라인
kyoungsoo031,1983-01-02,남,광주광역시 서구 치평동 14-7,2025-02-09,vip,85790000,준대형 세단,5,428950000,2025-02-10,신용카드,오프라인
daeun026,1999-05-02,여,부산광역시 해운대구 우동 101-12,2025-02-28,신규,69500000,중형 SUV,1,69500000,2025-03-10,계좌이체,오프라인
minsu001,1960-07-01,남,전라남도 목포시 부주동 77-8,2023-04-28,일반,34920000,중형 SUV,1,34920000,2023-05-01,현금,오프라인
seunghyun020,1970-03-02,남,경기도 수원시 영통구 원천동 12-34,2023-09-18,이탈가능,50230000,준중형 세단,1,50230000,2023-10-01,신용카드,오프라인
youngcheol006,1959-08-03,남,울산광역시 남구 달동 23-5,2023-02-01,일반,50230000,준중형 세단,1,50230000,2023-02-01,신용카드,오프라인
sujin002,1998-01-02,여,경기도 수원시 영통구 원천동 12-34,2023-07-11,일반,44400000,중형 세단,1,44400000,2023-07-18,신용카드,온라인
jaewon040,1976-01-06,남,서울특별시 종로구 청운동 67-89,2024-12-01,신규,27830000,준중형 세단,1,27830000,2024-12-01,신용카드,오프라인
jinsu035,1980-04-06,남,인천광역시 남동구 구월동 88-10,2023-01-01,일반,44400000,중형 세단,1,44400000,2023-01-03,신용카드,오프라인
minjeong008,1977-08-05,여,서울특별시 종로구 청운동 67-89,2024-04-01,신규,61820000,중형 세단,1,61820000,2024-04-06,신용카드,오프라인
suyeon033,1990-11-24,여,경상남도 창원시 의창구 봉곡동 48-6,2024-11-08,vip,99670000,대형 세단,5,498350000,2024-12-03,계좌이체,오프라인
yeonghee003,1988-05-07,여,전라북도 전주시 완산구 덕진동 33-7,2023-06-07,일반,45980000,중형 SUV,2,91960000,2023-07-07,현금,오프라인
joonseok028,1997-08-05,남,충청북도 청주시 상당구 낙실동 9-1,2024-12-12,일반,35170000,준중형 세단,1,35170000,2025-01-02,계좌이체,오프라인
jisu022,1996-01-02,여,광주광역시 서구 치평동 14-7,2024-01-13,일반,34920000,중형 SUV,2,69840000,2024-02-03,계좌이체,오프라인
chanwoo037,1980-02-04,남,경기도 성남시 분당구 정자동 56-78,2023-06-28,일반,35170000,준중형 세단,3,105510000,2023-08-07,신용카드,오프라인
donghoon015,1985-01-07,남,울산광역시 남구 달동 23-5,2024-04-18,일반,52410000,준대형 세단,1,52410000,2024-05-06,신용카드,오프라인
sangmi041,1966-07-01,여,경상남도 창원시 의창구 봉곡동 48-6,2024-09-18,신규,34920000,중형 SUV,1,34920000,2024-10-03,신용카드,오프라인
sanghoon024,1974-01-02,남,서울특별시 종로구 청운동 67-89,2024-01-13,일반,39500000,준중형 SUV,1,39500000,2024-02-27,신용카드,오프라인
shanghee012,1972-06-01,남,경상북도 포항시 남구 대도동 19-2,2023-04-28,일반,52410000,준대형 세단,1,52410000,2023-05-07,신용카드,오프라인
unji027,1988-03-06,남,부산광역시 해운대구 우동 101-12,2024-08-11,일반,52410000,준대형 세단,1,52410000,2024-08-15,신용카드,오프라인
jeongmin019,1984-05-06,남,경기도 성남시 분당구 정자동 56-78,2024-01-07,일반,50230000,준중형 세단,1,50230000,2024-01-15,신용카드,오프라인
